tid,cid,ctype,seat_num
D1,1,一等,52
D1,2,一等,52
D1,3,二等,85
D1,4,二等,85
D1,5,二等,85
D1,6,二等,85
D1,7,二等,85
D1,8,二等,85
D1,9,二等,85
D1,10,二等,85
D1,11,二等,85
D1,12,二等,85
D1,13,一等,52
D1,14,一等,52
D2,1,一等,52
D2,2,一等,52
D2,3,二等,85
D2,4,二等,85
D2,5,二等,85
D2,6,二等,85
D2,7,二等,85
D2,8,二等,85
D2,9,二等,85
D2,10,二等,85
D2,11,二等,85
D2,12,二等,85
D2,13,一等,52
D2,14,一等,52
D3,1,一等,52
D3,2,一等,52
D3,3,二等,85
D3,4,二等,85
D3,5,二等,85
D3,6,二等,85
D3,7,二等,85
D3,8,二等,85
D3,9,二等,85
D3,10,二等,85
D3,11,二等,85
D3,12,二等,85
D3,13,一等,52
D3,14,一等,52
D4,1,一等,52
D4,2,一等,52
D4,3,二等,85
D4,4,二等,85
D4,5,二等,85
D4,6,二等,85
D4,7,二等,85
D4,8,二等,85
D4,9,二等,85
D4,10,二等,85
D4,11,二等,85
D4,12,二等,85
D4,13,一等,52
D4,14,一等,52
D6,1,一等,52
D6,2,一等,52
D6,3,二等,85
D6,4,二等,85
D6,5,二等,85
D6,6,二等,85
D6,7,二等,85
D6,8,二等,85
D6,9,二等,85
D6,10,二等,85
D6,11,二等,85
D6,12,二等,85
D6,13,一等,52
D6,14,一等,52
D7,1,一等,52
D7,2,一等,52
D7,3,二等,85
D7,4,二等,85
D7,5,二等,85
D7,6,二等,85
D7,7,二等,85
D7,8,二等,85
D7,9,二等,85
D7,10,二等,85
D7,11,二等,85
D7,12,二等,85
D7,13,一等,52
D7,14,一等,52
D9,1,一等,52
D9,2,一等,52
D9,3,二等,85
D9,4,二等,85
D9,5,二等,85
D9,6,二等,85
D9,7,二等,85
D9,8,二等,85
D9,9,二等,85
D9,10,二等,85
D9,11,二等,85
D9,12,二等,85
D9,13,一等,52
D9,14,一等,52
D10,1,一等,52
D10,2,一等,52
D10,3,二等,85
D10,4,二等,85
D10,5,二等,85
D10,6,二等,85
D10,7,二等,85
D10,8,二等,85
D10,9,二等,85
D10,10,二等,85
D10,11,二等,85
D10,12,二等,85
D10,13,一等,52
D10,14,一等,52
D11,1,一等,52
D11,2,一等,52
D11,3,二等,85
D11,4,二等,85
D11,5,二等,85
D11,6,二等,85
D11,7,二等,85
D11,8,二等,85
D11,9,二等,85
D11,10,二等,85
D11,11,二等,85
D11,12,二等,85
D11,13,一等,52
D11,14,一等,52
D12,1,一等,52
D12,2,一等,52
D12,3,二等,85
D12,4,二等,85
D12,5,二等,85
D12,6,二等,85
D12,7,二等,85
D12,8,二等,85
D12,9,二等,85
D12,10,二等,85
D12,11,二等,85
D12,12,二等,85
D12,13,一等,52
D12,14,一等,52
D13,1,一等,52
D13,2,一等,52
D13,3,二等,85
D13,4,二等,85
D13,5,二等,85
D13,6,二等,85
D13,7,二等,85
D13,8,二等,85
D13,9,二等,85
D13,10,二等,85
D13,11,二等,85
D13,12,二等,85
D13,13,一等,52
D13,14,一等,52
D14,1,一等,52
D14,2,一等,52
D14,3,二等,85
D14,4,二等,85
D14,5,二等,85
D14,6,二等,85
D14,7,二等,85
D14,8,二等,85
D14,9,二等,85
D14,10,二等,85
D14,11,二等,85
D14,12,二等,85
D14,13,一等,52
