station_a,station_b,mileage
下花园,北京西,140
张家口南,下花园,46
柴沟堡,张家口南,48
阳高,柴沟堡,77
大同,阳高,57
丰镇,大同,45
集宁南,丰镇,82
呼和浩特,集宁南,158
察素齐,呼和浩特,51
萨拉齐,察素齐,54
包头东,萨拉齐,44
包头,包头东,16
乌拉特前旗,包头,104
五原,乌拉特前旗,57
临河,五原,57
巴彦高勒,临河,60
乌海,巴彦高勒,83
乌海西,乌海,26
乌拉特前旗,临河,114
呼和浩特,包头东,149
宣化,张家口南,21
下花园,宣化,25
连云港,连云港东,20
东海县,连云港,40
新沂,东海县,41
邳州,新沂,37
徐州,邳州,72
黄口,徐州,49
砀山,黄口,34
虞城县,砀山,43
商丘,虞城县,20
兰考,商丘,88
开封,兰考,43
郑州,开封,72
洛阳,郑州,124
华山,洛阳,264
渭南,华山,67
西安,渭南,56
咸阳,西安,23
杨陵,咸阳,62
蔡家坡,杨陵,45
宝鸡,蔡家坡,43
潼关,渭南,79
灵宝,潼关,77
三门峡西,灵宝,30
洛阳,三门峡西,145
商丘,开封,131
砀山,商丘,63
新沂,徐州,109
连云港,新沂,81
清河门北,阜新南,28
义县,清河门北,43
锦州,义县,48
葫芦岛,锦州,50
兴城,葫芦岛,21
绥中,兴城,48
山海关,绥中,36
滦县,山海关,136
唐山,滦县,71
天津,唐山,123
沧州,天津,126
德州,沧州,113
济南,德州,118
泰山,济南,73
兖州,泰山,83
滕州,兖州,61
徐州,滕州,102
宿州,徐州,74
蚌埠,宿州,90
滁州北,蚌埠,127
南京,滁州北,57
丹阳,南京,92
常州,丹阳,44
无锡,常州,39
苏州,无锡,42
上海,苏州,84
南京,常州,136
枣庄西,徐州,68
滕州,枣庄西,34
邹城,滕州,40
兖州,邹城,21
磁窑,兖州,49
泰山,磁窑,34
禹城,济南,50
平原,禹城,33
德州,平原,35
吴桥,德州,22
东光,吴桥,32
泊头,东光,20
沧州,泊头,39
青县,沧州,32
天津,青县,94
山海关,唐山,173
兴城,山海关,118
阜新南,锦州,119
衡水,北京西,274
清河城,衡水,80
聊城,清河城,72
菏泽,聊城,156
曹县,菏泽,48
商丘,曹县,47
宁陵县,商丘,35
开封,宁陵县,96
民权,兰考,36
宁陵县,民权,17
定陶,曹县,27
菏泽,定陶,21
鄄城,菏泽,27
郓城,鄄城,29
梁山,郓城,24
台前,梁山,18
阳谷,台前,16
聊城,阳谷,42
临清,聊城,46
大营镇,临清,55
衡水,大营镇,51
深州,衡水,35
饶阳,深州,27
任丘,饶阳,65
霸州,任丘,55
北京西,霸州,92
廊坊北,北京,74
杨村,廊坊北,35
天津西,杨村,39
静海,天津西,43
青县,静海,41
昆山,上海,49
苏州,昆山,35
明光,滁州北,65
蚌埠,明光,62
泰山,邹城,104
沧州,济南,231
榆次,太原,27
榆社,榆次,112
武乡,榆社,30
沁县,武乡,23
襄垣,沁县,48
长治北,襄垣,25
长治,长治北,15
高平,长治,55
晋城,高平,39
焦作,晋城,60
新乡,焦作,63
郑州,新乡,80
徐州,砀山,83
民权,商丘,52
开封,民权,79
沁县,长治北,73
太原南,榆次,19
太原,太原南,8
集宁南,呼和浩特东,150
商都,集宁南,84
化德,商都,62
正镶白旗,化德,109
桑根达来,正镶白旗,95
林西,桑根达来,238
大板,林西,51
林东,大板,92
查布嘎,林东,62
开鲁,查布嘎,111
通辽,开鲁,93
宝龙山,通辽,63
通榆,宝龙山,107
白城,通榆,100
镇西,白城,49
