sname,cname
北京北,北京
北京东,北京
北京,北京
北京南,北京
北京西,北京
广州南,广州
重庆北,重庆
重庆,重庆
重庆南,重庆
重庆西,重庆
广州东,广州
上海,上海
上海南,上海
上海虹桥,上海
上海西,上海
天津北,天津
天津,天津
天津南,天津
天津西,天津
香港西九龙,香港
长春,长春
长春南,长春
长春西,长春
成都东,成都
成都南,成都
成都,成都
长沙,长沙
长沙南,长沙
大明湖,济南
福州,福州
福州南,福州
贵阳,贵阳
广州,广州
广州西,广州
哈尔滨,哈尔滨
哈尔滨东,哈尔滨
哈尔滨西,哈尔滨
合肥,合肥
合肥西,合肥
呼和浩特东,土默特左旗
呼和浩特,呼和浩特
海口东,海口
海口,海口
杭州东,杭州
杭州,杭州
杭州南,杭州
济南,济南
济南西,济南
昆明,昆明
昆明西,昆明
拉萨,拉萨
兰州东,兰州
兰州,兰州
兰州西,兰州
南昌,南昌
南京,南京
南京南,南京
南宁,南宁
石家庄北,石家庄
石家庄,石家庄
沈阳,沈阳
沈阳北,沈阳
沈阳东,沈阳
沈阳南,沈阳
太原北,太原
太原东,太原
太原,太原
武汉,武汉
王家营西,昆明
乌鲁木齐,乌鲁木齐
西安北,西安
西安,西安
西安南,西安
西宁,西宁
银川,银川
郑州,郑州
阿尔山,阿尔山
安康,安康
阿克苏,阿克苏
阿里河,鄂伦春自治旗
阿拉山口,阿拉山口
安平,辽阳
安庆,安庆
安顺,安顺
鞍山,鞍山
安阳,安阳
北安,北安
蚌埠,蚌埠
白城,白城
北海,北海
白河,安图县
白涧,涞水县
宝鸡,宝鸡
滨江,哈尔滨
博克图,牙克石
百色,百色
白山市,白山
北台,本溪
包头东,包头
包头,包头
北屯市,阿勒泰
本溪,本溪
白云鄂博,包头
白银西,白银
亳州,亳州
赤壁,赤壁
常德,常德
承德,承德
长甸,宽甸满族自治县
赤峰,赤峰
茶陵,株洲
苍南,温州
昌平,北京
崇仁,崇仁县
昌图,昌图县
长汀镇,海林
曹县,曹县
楚雄南,楚雄
陈相屯,沈阳
长治北,长治
池州,池州
长征,白银
常州,常州
郴州,郴州
长治,长治
沧州,沧州
崇左,崇左
大安北,大安
大成,沈阳
丹东,丹东
